Fredrick;Petterson;HCLugano;69;2014/15
Matthew;Lombardi;Genève-Servette;50;2013/14
Linus;Omark;EVZug;69;2012/13
Damien;Brunner;EVZug;60;2011/12
Glen;Metropolit;EVZug;53;2010/11
Randy;Robitaille;HCLugano;65;2009/10
Juraj;Kolnik;Genève-Servette;72;2008/09
Erik;Westrum;HCAmbri-Piotta;72;2007/08
Simon;Gamache;SCBern;66;2006/07
Glen;Metropolit;HCLugano;66;2005/06
Randy;Robitaille;ZSCLions;67;2004/05
Ville;Peltonen;HCLugano;72;2003/04
Petterli;Nummelin;HCLugano;57;2002/03
